team,number,name,grade,total_minutes,appearances,total_shoot_1st,total_shoot_2nd,total_shoot,total_goals,goal_rate
大東文化大学,23,船津　圭太,2,19,1,0,0,0,0,0.0
大東文化大学,7,笠原　壮瑠,不明,18,1,0,0,0,0,0.0
上智大学,48,岩永　悠杜,1,18,2,0,0,0,0,0.0
玉川大学,8,亀田　大空,1,17,1,0,0,0,0,0.0
玉川大学,33,荒井　陽大,2,16,1,0,0,0,0,0.0
朝鮮大学校,18,ソン スンイ,不明,15,1,0,0,0,0,0.0
神奈川工科大学（神奈川県）,27,宮代　匠,4,14,1,0,0,0,0,0.0
大東文化大学,9,熊田　裕,不明,13,1,0,0,0,0,0.0
武蔵大学,9,及川　紘輝,2,12,2,0,0,0,0,0.0
武蔵大学,18,美濃和　碧,1,12,1,0,0,0,0,0.0
神奈川工科大学（神奈川県）,22,吉谷　颯,3,10,1,0,0,0,0,0.0
横浜国立大学（神奈川県）,17,小川　和真,3,10,1,0,0,0,0,0.0
横浜国立大学（神奈川県）,16,井上　哲志,4,7,1,0,0,0,0,0.0
横浜国立大学（神奈川県）,27,菊地　海凪,1,7,1,0,0,0,0,0.0
帝京大学,27,山下 湊太郎,3,6,1,0,0,0,0,0.0
大東文化大学,28,田中　颯人,2,6,1,0,0,0,0,0.0
横浜国立大学（神奈川県）,22,鈴木　啓太,4,5,1,0,0,0,0,0.0
横浜国立大学（神奈川県）,23,川岸　幹太,1,5,1,0,0,0,0,0.0
上智大学,20,川島　晴空,3,4,1,0,0,0,0,0.0
上智大学,21,橋本　斗雅,2,4,1,0,0,0,0,0.0
東京経済大学,26,田中　大夢,不明,4,1,0,0,0,0,0.0
学習院大学,22,柴田　佳輝,4,4,1,0,0,0,0,0.0
朝鮮大学校,31,カン　フィヨン,1,4,1,0,0,0,0,0.0
横浜国立大学（神奈川県）,34,長谷川　舜,1,3,1,0,0,0,0,0.0
帝京大学,25,山下 翔世,3,2,1,0,0,0,0,0.0
玉川大学,49,鈴木ペドロ　知一郎,1,1,1,0,0,0,0,0.0
朝鮮大学校,3,金 龍昇,不明,0,0,0,0,0,0,0.0
横浜国立大学（神奈川県）,14,木村　光,3,0,0,0,0,0,0,0.0
横浜国立大学（神奈川県）,18,田房　朋樹,2,0,0,0,0,0,0,0.0
横浜国立大学（神奈川県）,21,川瀬　統己,4,0,0,0,0,0,0,0.0
横浜国立大学（神奈川県）,25,川口　湊人,2,0,0,0,0,0,0,0.0
横浜国立大学（神奈川県）,30,中野　楓麻,4,0,0,0,0,0,0,0.0
横浜国立大学（神奈川県）,40,小島　滉人,4,0,0,0,0,0,0,0.0
日本大学文理学部,12,松尾 凜久,4,0,0,0,0,0,0,0.0
桜美林大学,80,小野口　怜望,1,0,0,0,0,0,0,0.0
桜美林大学,18,佐藤　璃央,4,0,0,0,0,0,0,0.0
学習院大学,12,大西　怜真,不明,0,0,0,0,0,0,0.0
学習院大学,24,柳澤　和希,3,0,0,0,0,0,0,0.0
学習院大学,18,大久保　史温,2,0,0,0,0,0,0,0.0
学習院大学,9,佐藤　雄哉,3,0,0,0,0,0,0,0.0
学習院大学,15,早稲田　睦,4,0,0,0,0,0,0,0.0
東京経済大学,30,寺内　聡,3,0,0,0,0,0,0,0.0
神奈川工科大学（神奈川県）,1,古渕　雅喜,4,0,0,0,0,0,0,0.0
帝京大学,12,牧野 長太朗,2,0,0,0,0,0,0,0.0
帝京大学,23,大塚 樟太,3,0,0,0,0,0,0,0.0
上智大学,50,五十嵐　陽人,2,0,0,0,0,0,0,0.0
横浜国立大学（神奈川県）,4,飯島　浩輝,4,0,0,0,0,0,0,0.0
上智大学,26,宇野　伶,3,0,0,0,0,0,0,0.0
玉川大学,12,松本　里央,2,0,0,0,0,0,0,0.0
日本大学文理学部,77,新門 一晏,2,0,0,0,0,0,0,0.0
大東文化大学,4,正木　翠羽,不明,0,0,0,0,0,0,0.0
大東文化大学,22,髙野　広大,不明,0,0,0,0,0,0,0.0
学習院大学,25,西村　藍斗,3,0,0,0,0,0,0,0.0
玉川大学,1,大熊　大輔,1,0,0,0,0,0,0,0.0
神奈川工科大学（神奈川県）,26,平野　龍斗,1,0,0,0,0,0,0,0.0
桜美林大学,50,丸田　楽空,1,0,0,0,0,0,0,0.0
帝京大学,31,飯島　悠翔,3,0,0,0,0,0,0,0.0
帝京大学,28,田中 奏匠,2,0,0,0,0,0,0,0.0
帝京大学,21,吉村 晴喜,2,0,0,0,0,0,0,0.0
朝鮮大学校,30,李 燦喜,2,0,0,0,0,0,0,0.0
朝鮮大学校,15,高 茂邦,4,0,0,0,0,0,0,0.0
武蔵大学,7,二杉　茶利,4,0,0,0,0,0,0,0.0
横浜国立大学（神奈川県）,35,三宅　匡瑛,不明,0,0,0,0,0,0,0.0
東京経済大学,22,長田　崇志,不明,0,0,0,0,0,0,0.0
大東文化大学,45,星野　秀斗,3,0,0,0,0,0,0,0.0
上智大学,12,中木　智也,2,0,0,0,0,0,0,0.0
学習院大学,26,西山　康惺,不明,0,0,0,0,0,0,0.0
上智大学,38,瀧川　廉,1,0,0,0,0,0,0,0.0
日本大学文理学部,32,加藤 匠,2,0,0,0,0,0,0,0.0
桜美林大学,41,尾﨑　克蔵,2,0,0,0,0,0,0,0.0
学習院大学,21,伊藤   駿也,1,0,0,0,0,0,0,0.0
東京経済大学,32,峠舘　永愛,1,0,0,0,0,0,0,0.0
神奈川工科大学（神奈川県）,16,牛山　航,1,0,0,0,0,0,0,0.0
学習院大学,29,端谷   蓮,1,0,0,0,0,0,0,0.0
東京経済大学,22,村野　　大輝,3,0,0,0,0,0,0,0.0
桜美林大学,29,松並木 　梁仁,1,0,0,0,0,0,0,0.0
横浜国立大学（神奈川県）,32,馬塲　快,1,0,0,0,0,0,0,0.0
桜美林大学,49,梅本　高虎,1,0,0,0,0,0,0,0.0
学習院大学,19,河村　熙玲,3,0,0,0,0,0,0,0.0
横浜国立大学（神奈川県）,38,石榑　悠人,1,0,0,0,0,0,0,0.0
帝京大学,43,佐々木　貴彬,1,0,0,0,0,0,0,0.0
朝鮮大学校,32,朴　誠潤,1,0,0,0,0,0,0,0.0
日本大学文理学部,71,八木　良祐,1,0,0,0,0,0,0,0.0
神奈川工科大学（神奈川県）,21,福島　迅人,3,0,0,0,0,0,0,0.0
東京経済大学,2,瀬下　琥太郎,2,0,0,0,0,0,0,0.0
